waveform	[0]	[1]	[2]
t0	2023-02-25  12:35:45.046400	2023-02-25  12:35:45.046400	2023-02-25  12:35:45.046400
delta t	4.980000E-5	4.980000E-5	4.980000E-5

time	Y[0]	Y[1]	Y[2]
2023-02-25  12:35:45.055862	4.498291E+1	3.051758E-2	5.304565E+1
2023-02-25  12:35:45.055912	4.516602E+1	5.493164E-2	5.312500E+1
2023-02-25  12:35:45.055962	4.508667E+1	1.037598E-1	5.298462E+1
2023-02-25  12:35:45.056012	4.505615E+1	3.662109E-2	5.307617E+1
2023-02-25  12:35:45.056061	4.531250E+1	7.934570E-2	5.296631E+1
2023-02-25  12:35:45.056111	4.525757E+1	7.324219E-2	5.291748E+1
2023-02-25  12:35:45.056161	4.521484E+1	8.544922E-2	5.315552E+1
2023-02-25  12:35:45.056211	4.508057E+1	4.882812E-2	5.302124E+1
2023-02-25  12:35:45.056261	4.510498E+1	6.103516E-2	5.289307E+1
2023-02-25  12:35:45.056310	4.517822E+1	4.272461E-2	5.311279E+1
2023-02-25  12:35:45.056360	4.524536E+1	6.103516E-2	5.308228E+1
2023-02-25  12:35:45.056410	4.524536E+1	9.155273E-2	5.308838E+1
2023-02-25  12:35:45.056460	4.507446E+1	7.324219E-2	5.305786E+1
2023-02-25  12:35:45.056510	4.499512E+1	3.051758E-2	5.309448E+1
2023-02-25  12:35:45.056559	4.502563E+1	1.220703E-2	5.311279E+1
2023-02-25  12:35:45.056609	4.513550E+1	7.934570E-2	5.313110E+1
2023-02-25  12:35:45.056659	4.491577E+1	7.934570E-2	5.285034E+1
2023-02-25  12:35:45.056709	4.495850E+1	2.441406E-2	5.305786E+1
2023-02-25  12:35:45.056759	4.517822E+1	-1.831055E-2	5.307617E+1
2023-02-25  12:35:45.056808	4.506226E+1	6.713867E-2	5.299072E+1
2023-02-25  12:35:45.056858	4.503174E+1	8.544922E-2	5.299683E+1
2023-02-25  12:35:45.056908	4.508057E+1	9.155273E-2	5.301514E+1
2023-02-25  12:35:45.056958	4.503784E+1	8.544922E-2	5.318604E+1
2023-02-25  12:35:45.057008	4.513550E+1	6.713867E-2	5.300293E+1
2023-02-25  12:35:45.057057	4.520874E+1	6.103516E-2	5.291138E+1
2023-02-25  12:35:45.057107	4.497681E+1	4.272461E-2	5.311890E+1
2023-02-25  12:35:45.057157	4.517212E+1	3.051758E-2	5.305176E+1
2023-02-25  12:35:45.057207	4.518433E+1	6.103516E-2	5.305786E+1
2023-02-25  12:35:45.057257	4.515991E+1	5.493164E-2	5.298462E+1
2023-02-25  12:35:45.057306	4.511719E+1	5.493164E-2	5.310059E+1
2023-02-25  12:35:45.057356	4.522095E+1	5.493164E-2	5.302734E+1
2023-02-25  12:35:45.057406	4.514771E+1	7.934570E-2	5.297852E+1
2023-02-25  12:35:45.057456	4.515991E+1	6.103516E-2	5.302124E+1
2023-02-25  12:35:45.057506	4.515991E+1	7.324219E-2	5.301514E+1
2023-02-25  12:35:45.057555	4.509277E+1	7.324219E-2	5.291748E+1
2023-02-25  12:35:45.057605	4.509277E+1	6.713867E-2	5.307007E+1
2023-02-25  12:35:45.057655	4.505005E+1	6.103516E-2	5.294189E+1
2023-02-25  12:35:45.057705	4.502563E+1	4.882812E-2	5.304565E+1
2023-02-25  12:35:45.057755	4.510498E+1	7.934570E-2	5.301514E+1
2023-02-25  12:35:45.057804	4.523926E+1	6.103516E-2	5.319824E+1
2023-02-25  12:35:45.057854	4.514160E+1	4.272461E-2	5.303955E+1
2023-02-25  12:35:45.057904	4.515381E+1	1.037598E-1	5.311279E+1
2023-02-25  12:35:45.057954	4.525146E+1	9.155273E-2	5.313110E+1
2023-02-25  12:35:45.058004	4.503174E+1	3.662109E-2	5.299072E+1
2023-02-25  12:35:45.058053	4.492798E+1	3.662109E-2	5.299072E+1
2023-02-25  12:35:45.058103	4.496460E+1	6.103516E-2	5.300903E+1
2023-02-25  12:35:45.058153	4.505615E+1	6.103516E-2	5.304565E+1
2023-02-25  12:35:45.058203	4.517822E+1	7.324219E-2	5.303955E+1
2023-02-25  12:35:45.058253	4.514771E+1	4.272461E-2	5.299683E+1
2023-02-25  12:35:45.058302	4.517822E+1	6.103516E-2	5.303345E+1
2023-02-25  12:35:45.058352	4.515381E+1	1.037598E-1	5.301514E+1
